
[Episode   0, Steps   1066] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   1066 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:03 Total Elapsed Time 00:00:03
[Episode   1, Steps   1885] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   1885 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:02 Total Elapsed Time 00:00:06
[Episode   2, Steps   2704] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   2704 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:02 Total Elapsed Time 00:00:08
[Episode   3, Steps   3708] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   3708 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:03 Total Elapsed Time 00:00:11
[Episode   4, Steps   4528] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   4528 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:02 Total Elapsed Time 00:00:14
[Episode   5, Steps   5477] Episode Reward: -19.0, Mean Episode Reward: -20.667, size of replay buffer:   5477 Loss: 0.031, Epsilon: 0.69, Num Training Steps:  477, Per-Episode Time: 00:00:40 Total Elapsed Time 00:00:55
[Episode   6, Steps   6360] Episode Reward: -21.0, Mean Episode Reward: -20.714, size of replay buffer:   6360 Loss: 0.000, Epsilon: 0.69, Num Training Steps: 1360, Per-Episode Time: 00:01:17 Total Elapsed Time 00:02:13
[Episode   7, Steps   7184] Episode Reward: -21.0, Mean Episode Reward: -20.750, size of replay buffer:   7184 Loss: 0.001, Epsilon: 0.69, Num Training Steps: 2184, Per-Episode Time: 00:01:13 Total Elapsed Time 00:03:26
[Episode   8, Steps   8345] Episode Reward: -20.0, Mean Episode Reward: -20.667, size of replay buffer:   8345 Loss: 0.006, Epsilon: 0.69, Num Training Steps: 3345, Per-Episode Time: 00:01:50 Total Elapsed Time 00:05:16
[Episode   9, Steps   9684] Episode Reward: -20.0, Mean Episode Reward: -20.600, size of replay buffer:   9684 Loss: 0.008, Epsilon: 0.69, Num Training Steps: 4684, Per-Episode Time: 00:02:03 Total Elapsed Time 00:07:20
[Episode  10, Steps  10629] Episode Reward: -21.0, Mean Episode Reward: -20.636, size of replay buffer:  10629 Loss: 0.003, Epsilon: 0.69, Num Training Steps: 5629, Per-Episode Time: 00:01:27 Total Elapsed Time 00:08:47
[Episode  11, Steps  11727] Episode Reward: -20.0, Mean Episode Reward: -20.583, size of replay buffer:  11727 Loss: 0.003, Epsilon: 0.69, Num Training Steps: 6727, Per-Episode Time: 00:01:41 Total Elapsed Time 00:10:29
[Episode  12, Steps  13068] Episode Reward: -20.0, Mean Episode Reward: -20.538, size of replay buffer:  13068 Loss: 0.007, Epsilon: 0.69, Num Training Steps: 8068, Per-Episode Time: 00:02:05 Total Elapsed Time 00:12:34
[Episode  13, Steps  14069] Episode Reward: -21.0, Mean Episode Reward: -20.571, size of replay buffer:  14069 Loss: 0.008, Epsilon: 0.69, Num Training Steps: 9069, Per-Episode Time: 00:01:33 Total Elapsed Time 00:14:07
[Episode  14, Steps  15267] Episode Reward: -19.0, Mean Episode Reward: -20.467, size of replay buffer:  15267 Loss: 0.004, Epsilon: 0.69, Num Training Steps: 10267, Per-Episode Time: 00:01:52 Total Elapsed Time 00:16:00
[Episode  15, Steps  16368] Episode Reward: -20.0, Mean Episode Reward: -20.438, size of replay buffer:  16368 Loss: 0.005, Epsilon: 0.68, Num Training Steps: 11368, Per-Episode Time: 00:01:42 Total Elapsed Time 00:17:42
[Episode  16, Steps  17498] Episode Reward: -21.0, Mean Episode Reward: -20.471, size of replay buffer:  17498 Loss: 0.007, Epsilon: 0.68, Num Training Steps: 12498, Per-Episode Time: 00:01:46 Total Elapsed Time 00:19:29
[Episode  17, Steps  18774] Episode Reward: -20.0, Mean Episode Reward: -20.444, size of replay buffer:  18774 Loss: 0.006, Epsilon: 0.68, Num Training Steps: 13774, Per-Episode Time: 00:02:00 Total Elapsed Time 00:21:29
[Episode  18, Steps  19717] Episode Reward: -21.0, Mean Episode Reward: -20.474, size of replay buffer:  19717 Loss: 0.004, Epsilon: 0.68, Num Training Steps: 14717, Per-Episode Time: 00:01:28 Total Elapsed Time 00:22:58
